stimulus,twin_adjusted_pp,n_identities
dd_0000,0.1794871794871795,39
dd_0001,-3.8974358974358974,39
dd_0002,0.6153846153846154,39
dd_0003,1.743589743589743,39
dd_0004,0.5263157894736847,38
dd_0005,-4.564102564102564,39
dd_0006,-2.6666666666666665,39
dd_0007,-0.20512820512820512,39
dd_0008,2.58974358974359,39
dd_0009,0.5384615384615384,39
dd_0010,0.3157894736842105,38
dd_0011,-0.358974358974359,39
dd_0012,-2.3333333333333335,39
dd_0013,-0.48717948717948717,39
dd_0014,0.4358974358974359,39
dd_0015,0.07692307692307693,39
dd_0016,-0.9230769230769231,39
dd_0017,0.05263157894736842,38
dd_0018,0.5128205128205128,39
dd_0019,1.0512820512820513,39
dd_0020,-0.5128205128205128,39
dd_0021,-0.6153846153846154,39
dd_0022,-3.7435897435897436,39
dd_0023,0.15384615384615385,39
dd_0024,-2.3333333333333335,39
dd_0025,3.717948717948717,39
dd_0026,-0.05128205128205128,39
dd_0027,-1.4615384615384615,39
dd_0028,-0.8974358974358975,39
dd_0029,-3.5128205128205128,39
dd_0030,-0.897435897435897,39
dd_0031,-1.205128205128205,39
dd_0032,-3.871794871794872,39
dd_0033,1.2307692307692308,39
dd_0034,-0.9487179487179487,39
dd_0035,0.38461538461538464,39
dd_0036,-1.1538461538461537,39
dd_0037,-3.2051282051282053,39
dd_0038,1.5128205128205128,39
dd_0039,-0.6153846153846154,39
dd_0040,0.8974358974358975,39
dd_0041,-1.564102564102564,39
dd_0042,-0.23684210526315788,38
dd_0043,-1.8205128205128205,39
dd_0044,-1.5897435897435896,39
dd_0045,-1.3333333333333333,39
dd_0046,0.7948717948717948,39
dd_0047,-0.025641025641025824,39
dd_0048,-1.5897435897435896,39
dd_0049,0.1282051282051282,39
dd_0050,-0.05128205128205128,39
dd_0051,-3.5,38
dd_0052,1.6153846153846154,39
dd_0053,1.358974358974359,39
dd_0054,-0.3333333333333333,39
dd_0055,1.4102564102564101,39
dd_0056,0.8974358974358975,39
dd_0057,-3.1315789473684212,38
dd_0058,-2.6923076923076925,39
dd_0059,0.1282051282051284,39
dd_0060,-0.23076923076923078,39
dd_0061,-0.8974358974358976,39
dd_0062,2.5641025641025643,39
dd_0063,-2.4615384615384617,39
dd_0064,-1.256410256410256,39
dd_0065,1.5128205128205128,39
dd_0066,0.5128205128205128,39
dd_0067,-2.0,39
dd_0068,-0.02564102564102564,39
dd_0069,-1.7435897435897436,39
dd_0070,-1.1538461538461537,39
dd_0071,-1.9487179487179487,39
dd_0072,-2.1794871794871793,39
dd_0073,-0.8974358974358976,39
dd_0074,-0.6923076923076923,39
dd_0075,-0.1794871794871795,39
dd_0076,-0.3333333333333333,39
dd_0077,-2.7435897435897436,39
dd_0078,0.2564102564102564,39
dd_0079,-5.076923076923077,39
dd_0080,1.6923076923076923,39
dd_0081,2.410256410256411,39
dd_0082,-1.8205128205128205,39
dd_0083,-0.5384615384615387,39
dd_0084,0.07692307692307693,39
dd_0085,-1.5384615384615385,39
dd_0086,-1.358974358974359,39
dd_0087,-0.4473684210526316,38
dd_0088,-1.5384615384615385,39
dd_0089,-0.28205128205128205,39
dd_0090,-1.8205128205128205,39
dd_0091,-4.282051282051282,39
dd_0092,-2.5384615384615383,39
dd_0093,-3.769230769230769,39
dd_0094,-0.38461538461538464,39
dd_0095,-0.15384615384615385,39
dd_0096,-1.6666666666666667,39
dd_0097,1.8461538461538463,39
dd_0098,-3.4871794871794872,39
dd_0099,0.5897435897435898,39
