stimulus,twin_adjusted_pp,n_identities
dd_0000,-2.358974358974359,39
dd_0001,2.8205128205128207,39
dd_0002,-1.564102564102564,39
dd_0003,-0.8974358974358975,39
dd_0004,0.7435897435897443,39
dd_0005,-3.769230769230769,39
dd_0006,-0.7692307692307693,39
dd_0007,-1.0769230769230769,39
dd_0008,-4.564102564102564,39
dd_0009,-0.7692307692307693,39
dd_0010,-0.7948717948717948,39
dd_0011,0.5641025641025641,39
dd_0012,-1.6923076923076923,39
dd_0013,-1.1025641025641026,39
dd_0014,0.20512820512820512,39
dd_0015,-0.358974358974359,39
dd_0016,-2.1025641025641026,39
dd_0017,-0.46153846153846156,39
dd_0018,-0.38461538461538464,39
dd_0019,-0.358974358974359,39
dd_0020,-2.282051282051282,39
dd_0021,-1.2162162162162162,37
dd_0022,-1.4358974358974361,39
dd_0023,-0.6486486486486487,37
dd_0024,1.487179487179487,39
dd_0025,1.4102564102564104,39
dd_0026,-1.6666666666666667,39
dd_0027,1.763157894736842,38
dd_0028,-0.02564102564102564,39
dd_0029,-2.1794871794871793,39
dd_0030,0.3333333333333333,39
dd_0031,-1.3333333333333333,39
dd_0032,-1.9487179487179487,39
dd_0033,-1.1794871794871795,39
dd_0034,-0.10256410256410256,39
dd_0035,-0.5128205128205128,39
dd_0036,-1.0263157894736843,38
dd_0037,-3.358974358974359,39
dd_0038,0.6410256410256411,39
dd_0039,1.17948717948718,39
dd_0040,-1.0256410256410255,39
dd_0041,-0.3076923076923077,39
dd_0042,-0.6666666666666666,39
dd_0043,-0.8205128205128205,39
dd_0044,-2.358974358974359,39
dd_0045,-0.6923076923076923,39
dd_0046,-3.641025641025641,39
dd_0047,-0.6153846153846154,39
dd_0048,-0.2564102564102564,39
dd_0049,-0.48717948717948717,39
dd_0050,-0.6666666666666666,39
dd_0051,-2.1538461538461537,39
dd_0052,1.1025641025641029,39
dd_0053,-1.8717948717948718,39
dd_0054,1.205128205128205,39
dd_0055,0.8205128205128207,39
dd_0056,-1.3333333333333333,39
dd_0057,-1.179487179487179,39
dd_0058,-0.5897435897435898,39
dd_0059,0.5384615384615381,39
dd_0060,-3.4615384615384617,39
dd_0061,-0.3846153846153844,39
dd_0062,1.8974358974358974,39
dd_0063,-0.7435897435897434,39
dd_0064,1.1578947368421053,38
dd_0065,0.5641025641025641,39
dd_0066,-3.1025641025641026,39
dd_0067,-1.641025641025641,39
dd_0068,0.7692307692307693,39
dd_0069,-1.1282051282051282,39
dd_0070,-0.9230769230769231,39
dd_0071,-2.5128205128205128,39
dd_0072,0.5384615384615384,39
dd_0073,1.6666666666666667,39
dd_0074,-5.076923076923077,39
dd_0075,1.2820512820512822,39
dd_0076,0.9736842105263158,38
dd_0077,-5.435897435897437,39
dd_0078,-5.0256410256410255,39
dd_0079,4.205128205128205,39
dd_0080,0.6842105263157895,38
dd_0081,0.2564102564102562,39
dd_0082,-0.6153846153846154,39
dd_0083,0.10256410256410274,39
dd_0084,-3.2564102564102564,39
dd_0085,-1.4871794871794872,39
dd_0086,-1.564102564102564,39
dd_0087,0.9487179487179487,39
dd_0088,-0.6410256410256411,39
dd_0089,-0.7105263157894737,38
dd_0090,1.3076923076923077,39
dd_0091,-1.2564102564102564,39
dd_0092,-3.641025641025641,39
dd_0093,1.0,39
dd_0094,-0.28205128205128205,39
dd_0095,-1.641025641025641,39
dd_0096,-1.5128205128205128,39
dd_0097,0.10256410256410256,39
dd_0098,-0.1794871794871793,39
dd_0099,-4.82051282051282,39
