persona_key,name,role_text,category,ambiguous,alternative_category,notes
fai2_dario_amodei,Dario Amodei,is the CEO and co-founder of Anthropic (Anthropic),business,False,,
fai2_amanda_askell,Amanda Askell,is a researcher at Anthropic working on alignment and AI ethics (Anthropic),scrutiny,False,,
fai2_chris_olah,Chris Olah,leads interpretability research at Anthropic (Anthropic),scrutiny,False,,
fai2_jan_leike,Jan Leike,leads the alignment science team at Anthropic (Anthropic),scrutiny,False,,
fai2_jared_kaplan,Jared Kaplan,is the Chief Science Officer and co-founder of Anthropic (Anthropic),scrutiny,False,,
fai2_evan_hubinger,Evan Hubinger,leads alignment stress-testing at Anthropic (Anthropic),scrutiny,False,,
fai2_sam_bowman,Sam Bowman,leads an alignment research team at Anthropic (Anthropic),scrutiny,False,,
fai2_ethan_perez,Ethan Perez,is an adversarial-robustness and alignment researcher at Anthropic (Anthropic),scrutiny,False,,
fai2_sam_altman,Sam Altman,is the CEO of OpenAI (OpenAI),business,False,,
fai2_greg_brockman,Greg Brockman,is the President and co-founder of OpenAI (OpenAI),business,False,,
fai2_joshua_achiam,Joshua Achiam,works on mission alignment at OpenAI (OpenAI),scrutiny,False,,
fai2_aleksander_madry,Aleksander Madry,"leads preparedness research at OpenAI, on leave from MIT (OpenAI)",scrutiny,False,,
fai2_boaz_barak,Boaz Barak,"works on AI safety at OpenAI, on leave from Harvard (OpenAI)",scrutiny,False,,
fai2_ilya_sutskever,Ilya Sutskever,is the co-founder of Safe Superintelligence Inc. and former chief scientist of OpenAI (Safe Superintelligence),scrutiny,False,,
fai2_john_schulman,John Schulman,"is a co-founder of OpenAI, known for RLHF, now at Thinking Machines Lab (Thinking Machines Lab)",capabilities,False,,
fai2_lilian_weng,Lilian Weng,led safety systems at OpenAI and is now at Thinking Machines Lab (Thinking Machines Lab),scrutiny,False,,
fai2_andrej_karpathy,Andrej Karpathy,"is the founder of Eureka Labs, formerly of OpenAI and Tesla (Eureka Labs)",scrutiny,False,,
fai2_richard_ngo,Richard Ngo,"is an AI governance and alignment researcher, formerly at OpenAI and DeepMind (independent)",scrutiny,False,,
fai2_demis_hassabis,Demis Hassabis,is the CEO of Google DeepMind (Google DeepMind),business,False,,
fai2_shane_legg,Shane Legg,is a co-founder and chief AGI scientist of Google DeepMind (Google DeepMind),capabilities,False,,
fai2_neel_nanda,Neel Nanda,leads mechanistic interpretability research at Google DeepMind (Google DeepMind),scrutiny,False,,
fai2_rohin_shah,Rohin Shah,works on AGI safety and alignment at Google DeepMind (Google DeepMind),scrutiny,False,,
fai2_anca_dragan,Anca Dragan,leads AI safety and alignment at Google DeepMind (Google DeepMind),scrutiny,False,,
fai2_been_kim,Been Kim,is an interpretability researcher at Google DeepMind (Google DeepMind),scrutiny,False,,
fai2_nicholas_carlini,Nicholas Carlini,is a researcher at Google DeepMind known for adversarial ML and model security (Google DeepMind),scrutiny,False,,
fai2_geoffrey_hinton,Geoffrey Hinton,is an emeritus professor at the University of Toronto and Turing Award winner known as a godfather of deep learning (University of Toronto),capabilities,False,,
fai2_yoshua_bengio,Yoshua Bengio,"is a professor at Universite de Montreal, founder of Mila, and Turing Award winner (Mila)",capabilities,False,,
fai2_yann_lecun,Yann LeCun,is the chief AI scientist at Meta and Turing Award winner (Meta),capabilities,False,,
fai2_stuart_russell,Stuart Russell,is a professor of computer science at UC Berkeley and author of the standard AI textbook (UC Berkeley),other,False,,
fai2_percy_liang,Percy Liang,is a professor at Stanford directing the Center for Research on Foundation Models (Stanford),capabilities,False,,
fai2_jacob_steinhardt,Jacob Steinhardt,is a co-founder of Transluce and a professor at UC Berkeley researching AI alignment (Transluce),scrutiny,False,,
fai2_david_bau,David Bau,is a professor at Northeastern University working on interpretability (Northeastern),scrutiny,False,,
fai2_david_krueger,David Krueger,is a professor researching AI safety and deep learning (University of Cambridge),scrutiny,False,,
fai2_dylan_hadfieldmenell,Dylan Hadfield-Menell,is a professor at MIT researching value alignment (MIT),scrutiny,False,,
fai2_max_tegmark,Max Tegmark,is a professor at MIT and president of the Future of Life Institute (MIT),other,False,,
fai2_eliezer_yudkowsky,Eliezer Yudkowsky,is the founder of the Machine Intelligence Research Institute and a longtime writer on AI alignment (MIRI),business,False,,
fai2_nate_soares,Nate Soares,is the president of the Machine Intelligence Research Institute (MIRI),business,False,,
fai2_paul_christiano,Paul Christiano,"is the founder of the Alignment Research Center, known for RLHF and alignment research (Alignment Research Center)",business,False,,
fai2_beth_barnes,Beth Barnes,"is the founder of METR, which evaluates frontier models for dangerous capabilities (METR)",scrutiny,False,,
fai2_marius_hobbhahn,Marius Hobbhahn,"is the CEO of Apollo Research, which studies deceptive alignment in frontier models (Apollo Research)",scrutiny,False,,
fai2_geoffrey_irving,Geoffrey Irving,is the chief scientist of the UK AI Security Institute (UK AISI),scrutiny,False,,
fai2_ian_hogarth,Ian Hogarth,chairs the UK AI Security Institute and co-authors the State of AI report (UK AISI),scrutiny,False,,
fai2_owain_evans,Owain Evans,"runs Truthful AI, researching situational awareness and honesty in LLMs (Truthful AI)",scrutiny,False,,
fai2_dan_hendrycks,Dan Hendrycks,is the director of the Center for AI Safety (CAIS),business,False,,
fai2_buck_shlegeris,Buck Shlegeris,"is the CEO of Redwood Research, working on AI control (Redwood Research)",scrutiny,False,,
fai2_ryan_greenblatt,Ryan Greenblatt,"is the chief scientist of Redwood Research, known for the alignment-faking experiments (Redwood Research)",scrutiny,False,,
fai2_stella_biderman,Stella Biderman,is the executive director of EleutherAI (EleutherAI),scrutiny,False,,
fai2_zvi_mowshowitz,Zvi Mowshowitz,writes the widely-read Don't Worry About the Vase newsletter on AI (independent),other,False,,
fai2_gary_marcus,Gary Marcus,is an emeritus professor at NYU and a prominent critic of deep learning (independent),capabilities,False,,
fai2_emily_bender,Emily Bender,"is a professor of linguistics at the University of Washington, co-author of the stochastic-parrots paper (University of Washington)",capabilities,False,,
fai2_jie_tang,Jie Tang,is the chief scientist of Zhipu AI and a professor at Tsinghua University (Zhipu AI),capabilities,False,,
fai2_peng_zhang,Peng Zhang,"is the CEO and co-founder of Zhipu AI, which builds the GLM models (Zhipu AI)",capabilities,False,,
fai2_aohan_zeng,Aohan Zeng,is a lead researcher on the GLM models at Zhipu AI (Zhipu AI),capabilities,False,,
fai2_junyang_lin,Junyang Lin,leads the Qwen team at Alibaba (Qwen),capabilities,False,,
fai2_jingren_zhou,Jingren Zhou,"leads the Tongyi Lab at Alibaba, which develops the Qwen models (Qwen)",capabilities,False,,
fai2_zihan_qiu,Zihan Qiu,is a researcher on the Qwen team at Alibaba (Qwen),capabilities,False,,
fai2_wenfeng_liang,Wenfeng Liang,is the founder and CEO of DeepSeek (DeepSeek),business,False,,
fai2_zhilin_yang,Zhilin Yang,"is the founder of Moonshot AI, which builds the Kimi models (Moonshot AI)",business,False,,
fai2_kaifu_lee,Kai-Fu Lee,is the founder and CEO of 01.AI and author of AI Superpowers (01.AI),business,False,,
fai2_robin_li,Robin Li,"is the CEO and co-founder of Baidu, which builds the Ernie models (Baidu)",business,False,,
fai2_marc_andreessen,Marc Andreessen,"is the co-founder of the venture firm Andreessen Horowitz (a16z) and author of the Techno-Optimist Manifesto, a prominent advocate of rapid, unconstrained AI development (Andreessen Horowitz)",business,False,,
