persona_key,name,role_text,category,ambiguous,alternative_category,notes
fai2_dario_amodei,Dario Amodei,is the CEO and co-founder of Anthropic (Anthropic),,,,
fai2_amanda_askell,Amanda Askell,is a researcher at Anthropic working on alignment and AI ethics (Anthropic),,,,
fai2_chris_olah,Chris Olah,leads interpretability research at Anthropic (Anthropic),,,,
fai2_jan_leike,Jan Leike,leads the alignment science team at Anthropic (Anthropic),,,,
fai2_jared_kaplan,Jared Kaplan,is the Chief Science Officer and co-founder of Anthropic (Anthropic),,,,
fai2_evan_hubinger,Evan Hubinger,leads alignment stress-testing at Anthropic (Anthropic),,,,
fai2_sam_bowman,Sam Bowman,leads an alignment research team at Anthropic (Anthropic),,,,
fai2_ethan_perez,Ethan Perez,is an adversarial-robustness and alignment researcher at Anthropic (Anthropic),,,,
fai2_sam_altman,Sam Altman,is the CEO of OpenAI (OpenAI),,,,
fai2_greg_brockman,Greg Brockman,is the President and co-founder of OpenAI (OpenAI),,,,
fai2_joshua_achiam,Joshua Achiam,works on mission alignment at OpenAI (OpenAI),,,,
fai2_aleksander_madry,Aleksander Madry,"leads preparedness research at OpenAI, on leave from MIT (OpenAI)",,,,
fai2_boaz_barak,Boaz Barak,"works on AI safety at OpenAI, on leave from Harvard (OpenAI)",,,,
fai2_ilya_sutskever,Ilya Sutskever,is the co-founder of Safe Superintelligence Inc. and former chief scientist of OpenAI (Safe Superintelligence),,,,
fai2_john_schulman,John Schulman,"is a co-founder of OpenAI, known for RLHF, now at Thinking Machines Lab (Thinking Machines Lab)",,,,
fai2_lilian_weng,Lilian Weng,led safety systems at OpenAI and is now at Thinking Machines Lab (Thinking Machines Lab),,,,
fai2_andrej_karpathy,Andrej Karpathy,"is the founder of Eureka Labs, formerly of OpenAI and Tesla (Eureka Labs)",,,,
fai2_richard_ngo,Richard Ngo,"is an AI governance and alignment researcher, formerly at OpenAI and DeepMind (independent)",,,,
fai2_demis_hassabis,Demis Hassabis,is the CEO of Google DeepMind (Google DeepMind),,,,
fai2_shane_legg,Shane Legg,is a co-founder and chief AGI scientist of Google DeepMind (Google DeepMind),,,,
fai2_neel_nanda,Neel Nanda,leads mechanistic interpretability research at Google DeepMind (Google DeepMind),,,,
