persona_key,name,role_text,llm_category,llm_ambiguous,llm_alternative,human_category,human_ambiguous,human_alternative,agree,final_category,resolution,ambiguous,alternative_category,protocol_sha256
fai2_aleksander_madry,Aleksander Madry,"leads preparedness research at OpenAI, on leave from MIT (OpenAI)",scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_amanda_askell,Amanda Askell,is a researcher at Anthropic working on alignment and AI ethics (Anthropic),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_anca_dragan,Anca Dragan,leads AI safety and alignment at Google DeepMind (Google DeepMind),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_andrej_karpathy,Andrej Karpathy,"is the founder of Eureka Labs, formerly of OpenAI and Tesla (Eureka Labs)",capabilities,True,business,scrutiny,False,,False,capabilities,reviewer chose capabilities over LLM capabilities / human scrutiny,True,business,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_aohan_zeng,Aohan Zeng,is a lead researcher on the GLM models at Zhipu AI (Zhipu AI),capabilities,False,,capabilities,False,,True,capabilities,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_balaji_srinivasan,Balaji Srinivasan,"is a tech entrepreneur and investor, former CTO of Coinbase, known for techno-accelerationist views (independent)",business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_been_kim,Been Kim,is an interpretability researcher at Google DeepMind (Google DeepMind),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ben_horowitz,Ben Horowitz,is the co-founder of the venture capital firm Andreessen Horowitz (a16z) (Andreessen Horowitz),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_beth_barnes,Beth Barnes,"is the founder of METR, which evaluates frontier models for dangerous capabilities (METR)",scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_boaz_barak,Boaz Barak,"works on AI safety at OpenAI, on leave from Harvard (OpenAI)",scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_buck_shlegeris,Buck Shlegeris,"is the CEO of Redwood Research, working on AI control (Redwood Research)",scrutiny,False,business,scrutiny,False,,True,scrutiny,,False,business,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_chamath_palihapitiya,Chamath Palihapitiya,is the founder and CEO of Social Capital and a host of the All-In podcast (Social Capital),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_chris_olah,Chris Olah,leads interpretability research at Anthropic (Anthropic),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_dan_hendrycks,Dan Hendrycks,is the director of the Center for AI Safety (CAIS),scrutiny,False,,business,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human business,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_dario_amodei,Dario Amodei,is the CEO and co-founder of Anthropic (Anthropic),business,True,scrutiny,business,False,,True,business,,True,scrutiny,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_david_bau,David Bau,is a professor at Northeastern University working on interpretability (Northeastern),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_david_krueger,David Krueger,is a professor researching AI safety and deep learning (University of Cambridge),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_david_sacks,David Sacks,"is a venture capitalist and the US administration's AI and crypto czar, an opponent of AI over-regulation (Craft Ventures)",business,True,scrutiny,business,False,,True,business,,True,scrutiny,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_demis_hassabis,Demis Hassabis,is the CEO of Google DeepMind (Google DeepMind),business,True,capabilities,business,False,,True,business,,True,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_dylan_hadfieldmenell,Dylan Hadfield-Menell,is a professor at MIT researching value alignment (MIT),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_eliezer_yudkowsky,Eliezer Yudkowsky,is the founder of the Machine Intelligence Research Institute and a longtime writer on AI alignment (MIRI),scrutiny,False,,business,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human business,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_emily_bender,Emily Bender,"is a professor of linguistics at the University of Washington, co-author of the stochastic-parrots paper (University of Washington)",scrutiny,False,other,capabilities,False,,False,scrutiny,reviewer chose other over LLM scrutiny / human capabilities,False,other,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ethan_perez,Ethan Perez,is an adversarial-robustness and alignment researcher at Anthropic (Anthropic),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_evan_hubinger,Evan Hubinger,leads alignment stress-testing at Anthropic (Anthropic),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_garry_tan,Garry Tan,is the president and CEO of Y Combinator and an advocate for 'little tech' (Y Combinator),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_gary_marcus,Gary Marcus,is an emeritus professor at NYU and a prominent critic of deep learning (independent),scrutiny,False,,capabilities,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human capabilities,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_geoffrey_hinton,Geoffrey Hinton,is an emeritus professor at the University of Toronto and Turing Award winner known as a godfather of deep learning (University of Toronto),scrutiny,True,capabilities,capabilities,False,,False,scrutiny,reviewer chose scrutiny over LLM scrutiny / human capabilities,True,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_geoffrey_irving,Geoffrey Irving,is the chief scientist of the UK AI Security Institute (UK AISI),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_greg_brockman,Greg Brockman,is the President and co-founder of OpenAI (OpenAI),business,True,capabilities,business,False,,True,business,,True,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ian_hogarth,Ian Hogarth,chairs the UK AI Security Institute and co-authors the State of AI report (UK AISI),scrutiny,True,business,scrutiny,False,,True,scrutiny,,True,business,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ilya_sutskever,Ilya Sutskever,is the co-founder of Safe Superintelligence Inc. and former chief scientist of OpenAI (Safe Superintelligence),business,True,scrutiny,scrutiny,False,,False,scrutiny,reviewer chose scrutiny over LLM business / human scrutiny,True,scrutiny,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jacob_steinhardt,Jacob Steinhardt,is a co-founder of Transluce and a professor at UC Berkeley researching AI alignment (Transluce),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jan_leike,Jan Leike,leads the alignment science team at Anthropic (Anthropic),scrutiny,False,,scrutiny,False,,True,scrutiny,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jared_kaplan,Jared Kaplan,is the Chief Science Officer and co-founder of Anthropic (Anthropic),capabilities,True,business,scrutiny,False,,False,capabilities,reviewer chose capabilities over LLM capabilities / human scrutiny,True,business,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jason_calacanis,Jason Calacanis,is an angel investor and host of the All-In and This Week in Startups podcasts (Launch),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jie_tang,Jie Tang,is the chief scientist of Zhipu AI and a professor at Tsinghua University (Zhipu AI),capabilities,False,,capabilities,False,,True,capabilities,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jingren_zhou,Jingren Zhou,"leads the Tongyi Lab at Alibaba, which develops the Qwen models (Qwen)",capabilities,False,,capabilities,False,,True,capabilities,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_john_schulman,John Schulman,"is a co-founder of OpenAI, known for RLHF, now at Thinking Machines Lab (Thinking Machines Lab)",capabilities,True,scrutiny,capabilities,False,,True,capabilities,,True,scrutiny,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_joshua_achiam,Joshua Achiam,works on mission alignment at OpenAI (OpenAI),scrutiny,True,capabilities,scrutiny,False,,True,scrutiny,,True,capabilities,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_junyang_lin,Junyang Lin,leads the Qwen team at Alibaba (Qwen),capabilities,False,,capabilities,False,,True,capabilities,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_kaifu_lee,Kai-Fu Lee,is the founder and CEO of 01.AI and author of AI Superpowers (01.AI),business,False,,business,False,,True,business,,False,,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
